river name,river,Status
Niagara River,http://dbpedia.org/resource/Niagara_River,True
River Afan,http://dbpedia.org/resource/River_Afan,True
Delaware River,http://dbpedia.org/resource/Delaware_River,True
Seine,http://dbpedia.org/resource/Seine,True
Tisza,http://dbpedia.org/resource/Tisza,True
Angara,http://dbpedia.org/resource/Angara,True
Yenisey,http://dbpedia.org/resource/Yenisey,True
Ob (river),http://dbpedia.org/resource/Ob_(river),True
Waal (river),http://dbpedia.org/resource/Waal_(river),True
Brisbane River,http://dbpedia.org/resource/Brisbane_River,True
Amur,http://dbpedia.org/resource/Amur,True
Ebola River,http://dbpedia.org/resource/Ebola_River,True
Savinja,http://dbpedia.org/resource/Savinja,True
Back River (Nunavut),http://dbpedia.org/resource/Back_River_(Nunavut),True
River Parrett,http://dbpedia.org/resource/River_Parrett,True
Potomac River,http://dbpedia.org/resource/Potomac_River,True
Vedea,http://dbpedia.org/resource/Vedea,True
Kerio River,http://dbpedia.org/resource/Kerio_River,True
Irtysh,http://dbpedia.org/resource/Irtysh,True
Volga,http://dbpedia.org/resource/Volga,True
Tagus,http://dbpedia.org/resource/Tagus,True
Llobregat,http://dbpedia.org/resource/Llobregat,True
Warta,http://dbpedia.org/resource/Warta,True
IJssel,http://dbpedia.org/resource/IJssel,True
Gran Valira,http://dbpedia.org/resource/Gran_Valira,True
Douro,http://dbpedia.org/resource/Douro,True
Guadalquivir,http://dbpedia.org/resource/Guadalquivir,True
Mekong,http://dbpedia.org/resource/Mekong,True
Segre (river),http://dbpedia.org/resource/Segre_(river),True
Illinois River,http://dbpedia.org/resource/Illinois_River,True
Au Sable River (Michigan),http://dbpedia.org/resource/Au_Sable_River_(Michigan),True
Hari (Afghanistan),http://dbpedia.org/resource/Hari_(Afghanistan),True
Scheldt,http://dbpedia.org/resource/Scheldt,True
Ottawa River,http://dbpedia.org/resource/Ottawa_River,True
Acheron,http://dbpedia.org/resource/Acheron,True
Syr Darya,http://dbpedia.org/resource/Syr_Darya,True
Upper Angara,http://dbpedia.org/resource/Upper_Angara,True
Willamette River,http://dbpedia.org/resource/Willamette_River,True
Cher (river),http://dbpedia.org/resource/Cher_(river),True
Neches River,http://dbpedia.org/resource/Neches_River,True
Gironde estuary,http://dbpedia.org/resource/Gironde_estuary,True
Var (river),http://dbpedia.org/resource/Var_(river),True
Clitunno,http://dbpedia.org/resource/Clitunno,True
Mitta Mitta River,http://dbpedia.org/resource/Mitta_Mitta_River,True
Breg (river),http://dbpedia.org/resource/Breg_(river),True
Orinoco,http://dbpedia.org/resource/Orinoco,True
Swan River (Western Australia),http://dbpedia.org/resource/Swan_River_(Western_Australia),True
River Shannon,http://dbpedia.org/resource/River_Shannon,True
Don (river),http://dbpedia.org/resource/Don_(river),True
"Morrow County, Ohio","http://dbpedia.org/resource/Morrow_County,_Ohio",True
Han River (Korea),http://dbpedia.org/resource/Han_River_(Korea),True
Ruhr (river),http://dbpedia.org/resource/Ruhr_(river),True
Neckar,http://dbpedia.org/resource/Neckar,True
River Waveney,http://dbpedia.org/resource/River_Waveney,True
Aude (river),http://dbpedia.org/resource/Aude_(river),True
River Bure,http://dbpedia.org/resource/River_Bure,True
Zambezi,http://dbpedia.org/resource/Zambezi,True
Ticino (river),http://dbpedia.org/resource/Ticino_(river),True
Helge River,http://dbpedia.org/resource/Helge_River,True
Orontes River,http://dbpedia.org/resource/Orontes_River,True
Moselle,http://dbpedia.org/resource/Moselle,True
Humber,http://dbpedia.org/resource/Humber,True
Water of Leith,http://dbpedia.org/resource/Water_of_Leith,True
River Axe (Lyme Bay),http://dbpedia.org/resource/River_Axe_(Lyme_Bay),True
River Ant,http://dbpedia.org/resource/River_Ant,True
River Yare,http://dbpedia.org/resource/River_Yare,True
River Thurne,http://dbpedia.org/resource/River_Thurne,True
Batman River,http://dbpedia.org/resource/Batman_River,True
Ems (river),http://dbpedia.org/resource/Ems_(river),True
River Chet,http://dbpedia.org/resource/River_Chet,True
River Wensum,http://dbpedia.org/resource/River_Wensum,True
River Tyne,http://dbpedia.org/resource/River_Tyne,True
Charles River,http://dbpedia.org/resource/Charles_River,True
Shatt al-Arab,http://dbpedia.org/resource/Shatt_al-Arab,True
Drava,http://dbpedia.org/resource/Drava,True
River Aire,http://dbpedia.org/resource/River_Aire,True
River Spen,http://dbpedia.org/resource/River_Spen,True
River Witham,http://dbpedia.org/resource/River_Witham,True
River Welland,http://dbpedia.org/resource/River_Welland,True
River Nene,http://dbpedia.org/resource/River_Nene,True
River Great Ouse,http://dbpedia.org/resource/River_Great_Ouse,True
Red River of the North,http://dbpedia.org/resource/Red_River_of_the_North,True
River Ancholme,http://dbpedia.org/resource/River_Ancholme,True
Aller (Germany),http://dbpedia.org/resource/Aller_(Germany),True
"River Stour, Kent","http://dbpedia.org/resource/River_Stour,_Kent",True
"East Stour, Kent","http://dbpedia.org/resource/East_Stour,_Kent",True
Little Stour,http://dbpedia.org/resource/Little_Stour,True
River Wantsum,http://dbpedia.org/resource/River_Wantsum,True
River Cam,http://dbpedia.org/resource/River_Cam,True
River Lark,http://dbpedia.org/resource/River_Lark,True
River Little Ouse,http://dbpedia.org/resource/River_Little_Ouse,True
River Wissey,http://dbpedia.org/resource/River_Wissey,True
"River Stour, Suffolk","http://dbpedia.org/resource/River_Stour,_Suffolk",True
River Wharfe,http://dbpedia.org/resource/River_Wharfe,True
"River Ouse, Yorkshire","http://dbpedia.org/resource/River_Ouse,_Yorkshire",True
"River Avon, Devon","http://dbpedia.org/resource/River_Avon,_Devon",True
"River Avon, Warwickshire","http://dbpedia.org/resource/River_Avon,_Warwickshire",True
"River Avon, Hampshire","http://dbpedia.org/resource/River_Avon,_Hampshire",True
"River Avon, Bristol","http://dbpedia.org/resource/River_Avon,_Bristol",True
"River Ouse, Sussex","http://dbpedia.org/resource/River_Ouse,_Sussex",True
"River Avon, Strathspey","http://dbpedia.org/resource/River_Avon,_Strathspey",True
"River Avon, Falkirk","http://dbpedia.org/resource/River_Avon,_Falkirk",True
Avon Water,http://dbpedia.org/resource/Avon_Water,True
Avon River (Ontario),http://dbpedia.org/resource/Avon_River_(Ontario),True
Avon River (Nova Scotia),http://dbpedia.org/resource/Avon_River_(Nova_Scotia),True
Avon River (Western Australia),http://dbpedia.org/resource/Avon_River_(Western_Australia),True
Ishim (river),http://dbpedia.org/resource/Ishim_(river),True
Leine,http://dbpedia.org/resource/Leine,True
Oker,http://dbpedia.org/resource/Oker,True
River Foss,http://dbpedia.org/resource/River_Foss,True
"River Glen, Lincolnshire","http://dbpedia.org/resource/River_Glen,_Lincolnshire",True
River Fowey,http://dbpedia.org/resource/River_Fowey,True
"River Frome, Dorset","http://dbpedia.org/resource/River_Frome,_Dorset",True
River Hamble,http://dbpedia.org/resource/River_Hamble,True
River Hull,http://dbpedia.org/resource/River_Hull,True
Podkamennaya Tunguska,http://dbpedia.org/resource/Podkamennaya_Tunguska,True
Svitava (river),http://dbpedia.org/resource/Svitava_(river),True
Svratka (river),http://dbpedia.org/resource/Svratka_(river),True
River Derwent (Tasmania),http://dbpedia.org/resource/River_Derwent_(Tasmania),True
"River Derwent, Derbyshire","http://dbpedia.org/resource/River_Derwent,_Derbyshire",True
"River Derwent, North East England","http://dbpedia.org/resource/River_Derwent,_North_East_England",True
"River Derwent, Cumbria","http://dbpedia.org/resource/River_Derwent,_Cumbria",True
"River Derwent, Yorkshire","http://dbpedia.org/resource/River_Derwent,_Yorkshire",True
Blue Nile,http://dbpedia.org/resource/Blue_Nile,True
Helmand River,http://dbpedia.org/resource/Helmand_River,True
Kansas River,http://dbpedia.org/resource/Kansas_River,True
Havel,http://dbpedia.org/resource/Havel,True
Cagayan River,http://dbpedia.org/resource/Cagayan_River,True
Muskingum River,http://dbpedia.org/resource/Muskingum_River,True
Republican River,http://dbpedia.org/resource/Republican_River,True
Smoky Hill River,http://dbpedia.org/resource/Smoky_Hill_River,True
Chao Phraya River,http://dbpedia.org/resource/Chao_Phraya_River,True
River Etherow,http://dbpedia.org/resource/River_Etherow,True
River Mersey,http://dbpedia.org/resource/River_Mersey,True
"River Douglas, Lancashire","http://dbpedia.org/resource/River_Douglas,_Lancashire",True
"River Don, Aberdeenshire","http://dbpedia.org/resource/River_Don,_Aberdeenshire",True
"River Don, Yorkshire","http://dbpedia.org/resource/River_Don,_Yorkshire",True
River Goyt,http://dbpedia.org/resource/River_Goyt,True
River Dane,http://dbpedia.org/resource/River_Dane,True
River Manifold,http://dbpedia.org/resource/River_Manifold,True
River Tay,http://dbpedia.org/resource/River_Tay,True
Glomma,http://dbpedia.org/resource/Glomma,True
River Mole,http://dbpedia.org/resource/River_Mole,True
Rhin,http://dbpedia.org/resource/Rhin,True
Merrimack River,http://dbpedia.org/resource/Merrimack_River,True
Souhegan River,http://dbpedia.org/resource/Souhegan_River,True
River Test,http://dbpedia.org/resource/River_Test,True
Kaveri,http://dbpedia.org/resource/Kaveri,True
Orange River,http://dbpedia.org/resource/Orange_River,True
Los Angeles River,http://dbpedia.org/resource/Los_Angeles_River,True
Colorado River (Argentina),http://dbpedia.org/resource/Colorado_River_(Argentina),True
